kirirom1,kirirom2,kamchay,atay
4338.211392,4066.356168,52564.2955,74255.4648
4284.893261,4029.006096,52084.13615,73550.7648
4232.497234,3991.776336,50416.452,72819.324
4191.18192,3954.791779,50581.4976,72158.05295
4146.026515,3918.042144,49877.05248,71487.36865
4099.000032,3881.500128,49673.65392,70879.7477
4052.708208,3845.172816,50560.49375,70333.08625
4011.74748,3813.702912,50656.4064,73828.3723
4030.45429,3799.472573,51292.764,77184.61055
3978.66181,3848.544144,51202.2211,75975.6845
3934.731341,3791.873736,51136.93295,74199.70655
3890.074464,3749.06772,49208.54976,72317.4912
3844.737619,3713.351904,46687.35024,70302.54385
3805.858656,3695.828947,46048.38336,68718.5424
3764.303539,3665.167272,46444.12128,73621.656
3725.0496,3643.638898,46968.45696,80547.9336
3688.743024,3619.54224,47210.84784,93806.3635
3651.801149,3590.143647,46965.69216,113787.1455
3618.328752,3559.528584,46000.23264,115215.8429
3587.151312,3545.052048,46569.74688,110979.7978
3714.883603,3959.514576,62802.76895,114202.5523
3889.944864,3726.16848,61496.4269,113008.6296
3727.534032,3550.63405,57442.9147,107491.536
3567.677184,3495.88656,55688.88025,99229.6483
3505.245149,3459.2076,50013.92735,91032.5952
3464.970048,3423.835699,46134.66672,84040.38575
3440.032719,3391.339968,44813.39472,89136.17135
3412.3572,3381.574608,38579.0688,96736.1357
3379.23805,3353.604336,34643.47536,94233.51215
3342.465346,3320.258256,34860.01536,89803.60705
3305.654496,3287.160447,35739.37728,85176.1008
3269.633904,3254.63616,35173.77048,80908.7616
3234.376656,3222.655848,33670.70467,77025.8635
3199.830912,3191.185944,32455.5552,73384.0603
3165.946301,3160.189037,34406.27107,70178.3611
3132.677376,3129.633072,35537.34384,67235.4605
3099.98232,3099.490272,35425.62648,64794.00385
3067.824845,3069.734544,36941.54256,63095.05585
3037.150944,3040.356082,35936.2656,61897.85855
3006.170496,3011.325552,39926.33424,61109.2123
2975.368896,2982.6252,42543.78336,60556.77505
2953.561968,2956.694616,39665.70864,59900.84785
2931.1848,2931.074424,37303.12656,59292.0907
2907.477331,2906.318621,34422.93375,58653.5472
2878.405416,2879.377632,34136.07106,58063.10255
2848.897872,2852.172,33446.05215,57510.0043
2824.882344,2835.552528,42570.30384,57141.1109
3256.983648,3170.943072,43434.62352,73850.53825
3154.291459,2979.794477,41516.68176,102241.021
2906.299872,2862.511488,41588.51472,111857.5008
2810.688768,2839.897757,39934.81872,106991.4528
2791.451808,3633.049152,37201.35168,115599.0226
2778.292008,3482.645069,36665.028,125393.5426
2878.913448,3352.93776,35345.45376,129519.1037
3179.033352,3434.105808,34652.35728,141734.7418
4285.100319,4811.386608,38778.65928,168452.6458
5470.749505,5005.796545,41351.91264,200828.6179
5848.62552,6793.65576,44451.7416,253546.2994
5602.22136,7604.5608,44060.12064,283030.5672
5182.245215,6908.80752,41282.37792,277492.2365
4562.19864,6065.93405,38915.43264,253124.2224
4065.113088,5299.48008,36655.4376,227330.5263
3782.63304,4620.774816,32406.55474,238505.1351
3537.713664,4069.525968,30944.96611,232124.3741
3378.902688,3828.500208,31918.3848,230209.4304
3329.510184,6599.66443,31654.57968,294020.6688
4377.454704,8357.567905,31578.40253,322685.3376
5161.964545,8110.72181,35004.96,336967.2835
6980.364865,8853.89443,41284.01952,359342.568
10129.10659,10697.10019,53959.78945,371071.8432
13173.9277,11961.24192,66813.4008,392425.0416
15207.51024,11327.33463,76577.4216,419840.9021
17124.61608,12775.25088,84959.6861,437503.464
15739.73856,11716.01971,83692.18945,412553.8656
14113.5048,10702.78704,76624.0344,375861.0384
12552.4512,9598.69872,87620.08465,339172.0992
15021.36187,10224.48139,91030.16735,330933.0211
13940.27021,9639.04968,105881.5541,374288.8608
12459.64896,8615.66976,101646.7359,364604.7773
11262.9325,7623.68328,96468.4339,330679.5408
13847.39064,8197.514495,95214.2472,350727.1661
14358.8173,8302.436065,92508.5448,380905.9344
15557.25442,11219.41455,89963.6155,456630.8429
14220.9756,10630.31386,86797.8979,458500.3488
12696.40311,9710.93837,79790.4864,425204.0784
11340.99619,8775.85363,73514.5027,406990.7856
10176.68059,8028.740735,64612.2269,375943.5504
9310.71456,7205.16557,57782.56175,344752.2605
8523.95659,7004.826865,52833.9197,312705.4032
7760.7288,6384.29731,63740.8051,299852.064
8416.78128,7042.23288,66888.72865,303632.7552
8146.566575,8474.991985,73486.9584,342813.4704
7530.51557,8573.03568,72109.5048,389687.1552
7111.21248,8790.814225,77602.72175,387330.1632
6890.09328,8901.36043,71332.7083,391033.0944
8382.62088,9367.57267,71236.2816,428839.3152
10373.81472,10495.14063,82721.27375,444631.68
10726.3561,9771.207985,107046.9216,429497.0352
12043.10765,10068.92424,109915.5096,466696.728
12427.36431,14953.21733,111487.3243,501441.84
11439.82354,14478.96816,110888.6328,485861.0429
10628.0748,13348.39911,117543.9643,466378.0675
11948.88413,15125.65661,161934.6255,515897.251
16176.6517,17440.89149,195120.7791,539888.2415
16476.25191,19724.23613,243552.8304,591027.624
17379.34445,21673.14408,255726.4695,568095.0335
19352.59906,24079.5949,277194.1392,576069.581
21110.92157,23911.80307,274445.5738,590524.4305
20881.58832,24756.84,264384.9504,588125.7935
21875.17968,25646.65071,260249.8032,624802.205
22955.62551,28083.12336,265422.0615,651220.128
25167.3264,30616.47936,277535.7648,667223.8705
26731.07309,31034.41344,300568.8384,748018.843
27729.98496,29350.06402,335078.5104,766848.4705
27368.08128,34227.06624,349428.7296,772700.1265
28058.24707,33725.6784,369650.1053,787337.021
30176.07826,33684.59693,385259.6131,798943.824
28461.41712,30821.42016,390774.0456,760965.84
28634.51823,33737.41584,372633.048,730752.019
26917.10179,31337.29944,349612.9776,681476.371
29230.01856,28334.41042,338777.4672,643637.491
27881.55821,25557.7896,326840.9184,598898.1455
25745.7744,25084.33488,304855.3152,567539.611
23186.95459,23677.01712,281502.5875,546894.245
22018.64515,22783.9176,264193.8639,535197.672
22447.43712,21211.52271,252107.9683,531800.64
26268.20755,19394.38685,247817.3832,543808.771
26516.00448,20069.53503,244684.584,573782.832
27287.74224,21084.71472,245236.3171,599079.197
27287.98416,21228.89904,255102.4066,650352.1535
30364.10064,22524.22771,265572.7042,696866.4575
28959.70752,20657.68704,263499.6312,658899.792
28378.73405,19049.26896,269891.0064,606709.5695
27412.49218,19322.22125,280612.9872,589588.157
26559.76479,19350.01181,300476.9088,618222.8015
28691.84851,21766.50879,330089.6016,629658.4465
31426.80163,24759.14559,351692.7552,699997.5935
32139.18864,27029.76178,353048.9933,755712.8495
31297.61247,26970.28272,361001.1456,766297.973
30691.08144,28402.82496,345608.9424,802733.4575
31485.10176,28525.94496,346290.2928,806253.221
31184.93088,29871.23011,337459.9968,852512.5585
30384.02232,29281.02351,339496.8509,828200.333
31622.05267,30882.17059,349940.2349,875523.989
30922.12368,30737.93832,349498.9296,884289.0095
29652.30418,30304.09152,342006.7104,856363.104
30143.21602,28024.36099,333387.0144,823497.84
31330.24704,26532.60019,342699.5779,862792.9055
31221.77832,24401.7589,347421.2472,873369.9935
31471.9776,23329.72239,338573.2435,850456.2815
32146.98408,23020.39872,343498.8816,816372.0865
33905.4552,25541.70192,346920.5808,835519.0175
34224.80083,25387.14399,356856.7104,829867.464
36193.07664,28329.0048,401215.464,860008.0175
39032.24112,31494.98592,456313.9104,886975.315
39581.47296,33406.16559,713351.3185,992224.771
49660.56864,45795.74544,1010522.304,1220955.682
57406.85135,53129.20895,1089031.09,1338024.96
53266.95215,48369.798,1016025.293,1318580.208
48324.9024,43194.02112,905959.944,1191382.906
46149.57504,39168.77472,831000.341,1081899.245
47849.95296,37470.09888,805973.587,1026569.592
50075.3837,36604.88064,796886.3375,1013337.821
45834.96672,35462.34864,737368.099,1039226.631
44365.31136,34729.11504,692538.4655,988544.736
40625.496,32109.77808,635013.3025,912067.776
37252.49184,29281.98514,577448.8705,841211.568
34131.58863,26503.99488,538858.3535,791716.853
31466.18448,25188.61536,511408.685,768388.68
33343.0776,26646.86938,503125.0415,802402.416
34290.85277,29284.97026,594888.451,851939.035
37463.29488,30669.14664,622067.04,891105.451
37369.01088,30171.204,644164.272,932229.432
37308.37968,32158.81872,621540.5185,1006095.341
34456.67554,30360.88656,606461.861,962839.5265
36219.07008,31967.69544,577849.7665,951905.088
36470.25216,30754.65672,566816.2705,916317.965
36035.28864,29876.6016,538001.4385,884883.6575
36190.692,29456.27251,510424.7185,847362.816
34815.73968,27755.87299,485408.2896,805463.8705
34182.14602,25388.71344,458282.9664,758924.3375
33249.28911,23706.80784,431384.0112,709148.131
30598.30728,21528.85176,431202.7872,669614.904
35117.02512,27084.38515,457772.1696,755315.885
35796.28896,27463.57618,476522.2224,764542.973
42563.664,31016.85955,524019.3265,785388.269
42642.25344,33328.14336,578574.2735,822898.483
44061.97392,34668.93312,624307.4785,876246.163
44126.00928,36087.64488,700551.245,975204.8785
45117.45792,39041.55936,699426.4465,1127329.056
43172.20512,37999.01808,650569.493,1093556.29
39646.89504,35154.22464,592514.2655,1020433.637
36098.17488,32590.75651,544910.587,1054207.138
43760.31912,49780.53072,769407.509,1381199.04
69618.99025,76784.59585,974313.144,1806113.808
73713.2875,81307.5408,1031326.69,2052632.794
68140.34495,73586.65105,943342.891,1935105.682
63337.7232,69803.2555,886234.392,1794368.074
58424.0256,70613.95535,1028962.743,1765105.603
59525.3448,83975.52095,1029210.797,1906530.394
60926.9904,84416.70095,997923.3695,2120097.456
56183.70385,81679.89455,915908.429,2064424.623
54177.2453,75141.1944,831184.5025,1899786.442
49385.37168,70490.9045,746689.493,1713442.81
45794.47104,63780.3461,679482.216,1576486.887
41991.10848,59832.1901,612872.784,1456645.896
40209.51024,54599.28335,566446.6945,1335062.477
36957.4272,49159.95408,519616.08,1198828.21
35676.21024,45873.09504,477737.0496,1130773.824
36495.45936,43708.13568,457727.5008,1101000.341
37776.0888,42396.38496,433100.088,1073010.931
35819.88048,41326.46352,417173.9328,1012955.328
35178.89184,40945.392,401464.7712,1007087.083
34239.37479,42359.86368,373393.152,1004827.464
31849.94131,39920.43312,348910.0704,934320.6145
32593.59907,39942.37008,338596.2864,924783.48
31759.34141,40018.72176,329444.6688,913830.8975
32595.07392,38554.33248,318513.0384,857765.0305
33788.68776,42705.08352,324336.4416,875724.5665
33529.87008,41610.12336,331382.6813,881995.003
34876.15488,40501.74096,333401.184,886491.605
37933.67376,43125.3504,346404.4963,895165.949
39352.71168,42793.60032,362362.8528,919212.2785
38520.8784,41615.262,358607.9952,921434.2705
38146.92624,38299.43088,348327.0259,873561.3265
36995.184,34745.16384,338880.7152,821977.1135
36333.32112,31684.68144,335761.7616,777282.6095
35037.89136,30460.2565,321580.4976,756462.7585
34549.49376,27995.20704,313915.3747,740572.9345
33119.27568,26360.48232,305233.5744,718735.7665
35651.9016,29812.24224,316905.3072,736396.92
34940.67408,28336.80672,352198.5408,771068.5055
40182.048,30934.63008,414722.0088,851999.429
44261.16048,34832.81664,405074.1312,976481.784
49875.69168,34700.26608,396804.3552,1030343.847
50880.2299,36307.98,487717.7184,1044674.712
50649.3475,37292.41728,554204.549,1055067.509
54501.012,43100.17776,574793.237,1183425.984
54981.4133,43461.95184,619801.3295,1270466.035
57360.5064,44794.71936,654802.3585,1393878.845
55041.51745,44292.10464,667813.075,1437567.523
56447.3448,47921.49216,645699.168,1480769.64
55051.08625,47323.23696,629246.1455,1534121.424
60866.0957,49728.99312,647160.797,1587819.888
66852.28945,58074.97825,705678.696,1689979.248
69406.77455,57222.62495,818565.523,1685288.463
69708.2976,60254.7336,851122.2095,1762846.071
66300.02065,59335.40735,817310.4335,1719223.661
60473.36015,55140.6355,732783.024,1590366.831
54726.9739,49781.83968,661373.5535,1445845.896
50063.24015,44766.13392,592382.419,1328747.631
47254.48848,44226.16848,562087.2095,1265545.901
43600.38192,40798.0584,537801.941,1173686.112
39772.77552,37563.05232,492607.4184,1101617.799
39598.54992,37172.63664,474243.0336,1055367.231
38136.67488,36749.38464,498260.7648,1026613.829
38038.18752,42814.24128,514994.2415,1127483.367
38931.17472,47045.46096,522423.821,1309195.311
37413.6624,44052.21072,507209.537,1395247.68
36331.50672,41032.5048,475675.3296,1334003.17
40804.14528,41482.22544,449994.42,1323359.424
43392.6288,45095.25312,441308.1744,1334622.96
52465.47985,47907.21024,467801.352,1266364.714
55726.4081,44207.29872,480964.5648,1177444.815
53684.02225,43089.26544,470339.9352,1141114.392
51906.3595,44223.7104,458617.464,1127324.218
52323.28705,42007.51584,481319.928,1151049.744
64727.9467,51933.4675,574079.832,1211832.36
65587.9464,60826.86575,623046.211,1252591.171
65404.3075,61122.1032,612848.0735,1249337.607
60617.1643,57420.5155,579799.901,1164784.882
56787.29425,51666.0941,539174.2145,1074489.451
52704.0648,48104.42688,511841.5055,989818.704
52294.2739,44064.51408,494502.7968,915675.9265
52175.7072,41239.52784,471292.776,899433.331
51243.3043,39079.92096,445324.1976,865300.104
52015.3963,38989.5552,441239.9184,846765.2735
55927.33345,38788.58016,481285.0224,890379.9935
55060.89695,35422.30224,510131.1745,876819.9455
52544.51425,35611.29792,495333.2909,905062.075
50779.4184,34799.8896,508882.824,932046.653
59202.02305,40576.45536,536203.368,970234.459
60516.9144,42959.95056,543691.7685,991088.8705
58796.6472,41463.93024,519736.9535,955012.68
56625.4303,38988.31536,499829.9616,947125.397
53568.8467,37383.78528,491748.9048,915708.24
54087.3677,39920.05728,494362.4184,945264.643
52365.8261,38464.80048,523366.229,1002717.663
61237.13615,59828.4965,679635.144,1146274.071
78004.0109,89991.8467,894341.261,1561114.512
81519.5837,90417.1248,985781.7505,1662728.429
81411.696,87617.7605,957560.2705,1692565.546
76827.1867,82296.03025,924083.035,1610517.6
77121.25345,80331.73055,924904.7855,1498602.946
75237.34465,87959.8224,908723.232,1598422.032
70125.42815,82227.7224,849750.307,1505123.165
70079.2128,79038.38735,810245.9375,1474954.618
71522.5248,74568.0384,792567.461,1416235.536
71736.7363,74101.3963,836369.971,1393260.394
70051.5864,72578.41055,835307.035,1343015.986
66014.18785,69623.4485,783269.784,1259272.095
64919.7893,65361.6605,732958.1135,1283251.075
63969.59665,61712.6515,687826.771,1256088.816
59951.37025,57075.16175,688323.6575,1224245.664
65064.4056,60285.99745,745012.469,1308462.077
66252.4272,57921.4195,862663.781,1238730.883
63020.0304,57540.7325,918732.067,1263955.45
66041.9179,56212.1899,1133547.394,1248093.792
63745.8336,53262.4075,1078188.84,1141425.778
57537.324,48744.01584,971586.7055,1075450.176
51468.73055,43636.61592,850692.024,968725.7855
46700.9064,39731.25168,769026.269,878815.7425
42168.00384,36250.94736,689057.885,791383.565
38083.84128,32925.40963,618121.973,712883.333
34283.46384,29637.93629,559746.115,642616.0705
30845.73053,26658.2664,504644.105,578051.165
27758.40063,23976.29117,452703.8592,521155.296
24972.90696,21562.2216,405393.12,469694.1168
22716.78912,19390.85136,367179.6312,426235.3747
21811.86447,18175.26384,339767.5464,406890.0864
20403.05544,16420.07938,316961.5752,376081.272
18830.6748,14765.02474,289277.4125,341194.4381
17035.63186,13270.97434,323481.8851,310833.7632
17526.3048,12424.32432,323393.6189,284366.6568
17297.77119,11287.78762,306488.016,260924.5786
17039.85552,10205.39952,289184.0832,237681.6912
15579.4873,9176.76,265955.4562,214975.8317
15314.95555,8445.20256,244359.5731,205284.7887
14070.25037,7608.52267,224714.5632,190959.552
12728.55471,6828.21576,209061.7863,172659.2803
11913.2208,6134.035825,200756.2061,156054.8895
11663.85744,5891.48035,195985.4919,144143.4528
14405.64264,6401.592,211545.8208,139108.5663
15720.426,6177.892895,232653.3495,151779.2861
15212.17411,5646.28925,229943.1888,148015.944
13840.46352,5070.698065,218052.5184,137840.5469
12626.43466,4633.713216,201291.912,126080.8632
11562.22167,4492.803888,187249.4496,116604.3384
10518.00898,4444.702848,173464.1223,110549.6165
9481.25045,4401.845424,159614.4528,104769.0245
8551.92384,4361.33376,143191.3248,100920.7383
7682.751935,4320.409968,130105.9455,96361.49665
6889.595185,4279.947984,117622.5883,91958.68225
6728.167585,4251.482208,134117.9122,88512.3331
10617.78327,5403.128545,176587.5168,90170.13745
10487.11709,5102.11267,183553.9488,91127.88575
9564.76728,4557.593088,170502.1661,88584.85295
8602.51752,4284.298483,154241.3405,86387.7053
8055.96581,4221.072562,145745.136,84572.21665
7939.65499,4187.616192,139423.8701,83076.52465
8120.24179,4165.903613,130252.6959,82350.5443
7520.76576,4132.761048,118146.8851,81500.9515
6832.71504,4097.553912,106483.2523,79722.7056
6129.28771,4062.577248,97002.8784,77970.31055
5630.28408,4028.04144,88226.09425,76831.0013
5059.729585,3993.755328,83213.94385,75998.3904
4858.14456,3960.533103,77848.44335,75341.78495
7294.05389,4023.009072,78539.3971,78574.5965
7561.67616,3956.107392,83895.1517,81383.2229
6852.01723,3914.176047,81832.38625,79645.19615
6119.67744,3882.114864,75792.14065,76589.42255
5456.106,3850.40736,68188.29695,74161.72945
4911.604128,3818.838096,74490.15745,72874.97425
4644.559008,3789.285408,66205.188,72052.60175
3990.093752,3222.703126,61265.29825,71439.29135
