kirirom,atay,kamchay
Node2,Node1,Node1
25.88450513,752.1422086,451.3838429
118.7564001,1804.496919,1306.520294
118.4307372,1795.656521,1293.184299
118.1067004,1787.537591,1284.292211
117.7846042,1779.333897,1273.464923
117.4641278,1771.777896,1264.059551
117.1452683,1764.846376,1257.333532
116.8577951,1798.652249,1266.466665
116.6794935,1831.002104,1276.013017
116.9020131,1817.370369,1264.184504
116.45539,1798.05749,1250.036189
116.0970925,1777.706617,1231.544982
115.7840091,1756.053864,1211.358716
115.586033,1738.755287,1197.101575
115.30505,1786.483154,1212.313764
115.0822861,1854.387915,1236.016031
114.8433696,1985.526113,1285.109156
114.5713636,2183.645576,1360.375604
114.2921001,2196.149487,1357.081023
114.1141916,2152.098328,1333.733004
116.6269717,2182.491249,1372.707129
115.0756199,2168.827037,1357.877376
113.8888032,2112.143103,1320.221266
113.4593263,2028.245049,1276.515264
113.1432446,1945.125092,1225.668084
112.8359489,1874.103133,1183.619342
112.5467856,1923.143343,1194.542915
112.3995575,1996.930711,1205.459715
112.1392722,1970.50958,1181.35122
111.845615,1925.051457,1158.013159
111.5538325,1877.710532,1135.378391
111.2660981,1834.003631,1111.540207
110.9817817,1794.161973,1087.580014
110.7011866,1756.761881,1065.277831
110.4236843,1723.719893,1050.751222
110.1492686,1693.318378,1035.772432
109.877623,1667.899811,1020.451588
109.6087419,1649.822552,1010.988579
109.3423102,1636.702977,998.7799608
109.078632,1627.613885,997.2543881
108.8170839,1620.855128,994.0430802
108.5727832,1613.090322,980.5146827
108.3305806,1605.798382,968.1709594
108.0941693,1598.22467,954.876859
107.8447552,1591.131579,946.4356639
107.5934444,1584.412923,937.4485521
107.4078726,1579.501256,946.3089416
109.3849586,1741.16616,999.9948119
108.126515,2016.395108,1088.476469
107.3228865,2108.360285,1114.737454
107.1008076,2059.268217,1088.241213
111.8748915,2141.231571,1105.82273
110.8672656,2234.585024,1130.784024
109.9876528,2272.763485,1135.056001
110.3975793,5230.1233,2142.833054
118.7200597,5214.074998,2135.588313
119.8131253,5199.258628,2125.706787
130.617536,5186.216206,2116.626988
135.4543361,5174.887451,2101.830056
131.1136871,5164.057898,2106.859918
125.8851128,5152.604886,2248.419751
121.1288416,5140.106152,2222.460758
116.9123903,5127.302654,2196.215244
113.4762745,5114.599093,2169.718354
111.9256381,5101.722591,2143.199976
128.623703,5090.136443,2116.712836
139.1623771,5080.478142,2090.210729
137.5596377,5071.715151,2063.856105
141.9422982,5063.716353,2037.928721
152.9600955,5056.428534,2012.83573
160.4665196,5049.830386,1988.866543
156.517821,5044.248928,1965.892982
165.1160831,5039.60722,1943.718222
158.6092455,5034.8136,1921.856655
152.389494,5028.734918,1899.628153
145.6331347,5021.126445,1877.572556
149.275311,5012.581357,1856.151117
145.6437802,5004.768348,1835.533546
139.3921499,4997.657296,1815.383318
133.3387002,4989.637119,1794.818725
136.667089,4981.327635,1773.970974
137.1857648,4974.065222,1752.948908
154.5088236,4969.010586,1731.695708
150.8675212,4965.573563,1710.191126
145.2613234,4961.481385,1688.238724
139.5700057,4956.315386,1665.701586
135.0075747,4950.122451,1642.496302
129.9969187,4942.632028,1618.598498
128.7013032,4933.823278,1594.18221
124.9101055,4924.078492,1570.028205
128.7167015,4914.144568,1546.492894
137.1141558,4905.106262,1523.386609
137.5850858,4897.861934,1500.510141
138.7641554,4891.545646,1477.814849
139.3066282,4885.257418,1455.085362
141.9514394,4879.834531,1432.075625
148.5003074,4875.529016,1409.567213
144.1056065,4871.237214,1388.635183
145.7454512,4867.405401,1368.900244
174.4210194,4865.073424,1349.360772
171.4862196,4863.140966,1329.864137
164.6932496,4860.477531,1310.634116
175.0112531,4858.440262,1293.65114
188.4735793,4857.935462,1280.083097
201.7264984,4858.996906,1270.107886
212.9955679,4860.646377,1262.800536
226.9280393,4861.984019,1256.974076
225.7603599,4863.789248,1251.97163
230.5216233,4865.845812,1246.405324
235.5364846,4868.616965,1240.21412
249.5792861,4872.703447,1234.06857
264.1647917,4877.674295,1228.683947
266.3863099,4884.663108,1224.846487
256.3513749,4893.728796,1223.542058
284.5424526,4903.309017,1224.388441
281.3918916,4913.316363,1226.756666
280.9219822,4923.870811,1230.702165
264.0584412,4933.875498,1235.57754
280.7669327,4942.45859,1239.897095
266.6162853,4949.384562,1242.40474
248.9954388,4954.494457,1243.422062
232.7135642,4957.882841,1243.436956
229.7825755,4959.684811,1241.958598
221.4576972,4960.402654,1238.484447
216.116429,4960.446264,1233.22038
206.863484,4960.175218,1226.66236
196.2145748,4960.083687,1219.383449
199.9418706,4960.86736,1211.777762
205.6199697,4962.803257,1204.058455
206.2788003,4966.335396,1196.79774
213.5519961,4971.906109,1190.432233
202.6562514,4977.655014,1184.436372
193.2591893,4981.524417,1178.630604
194.6630771,4983.948878,1173.578165
194.6601461,4986.613356,1169.872117
208.3279418,4990.11318,1168.344029
225.2673224,4995.317766,1169.070462
238.0525834,5003.15021,1170.807568
237.5142131,5012.36482,1172.95443
245.4866281,5022.559669,1174.773781
245.9829631,5033.587466,1175.94556
253.4377022,5045.653009,1176.758623
249.866771,5058.176086,1177.272637
258.7595584,5071.178882,1178.336033
257.7230954,5085.350959,1179.839721
255.0441199,5099.123589,1180.994174
241.9018175,5111.628905,1181.439379
233.2460069,5124.268262,1181.915085
220.9864306,5137.947306,1183.008579
214.7361321,5151.369168,1183.920432
24.15766964,5163.602794,1184.659622
38.46223201,5175.525021,1185.766263
37.627609,5187.728586,1187.460914
54.36428212,5200.442674,1191.545624
72.41046125,5214.347291,1200.008439
83.35830234,5231.008233,1222.211474
153.99087,5254.631673,1268.81076
195.9558312,5285.464017,1331.947469
169.0092709,5318.331542,1395.326421
139.6259572,5348.142017,1450.646581
116.75837,5373.018398,1497.821944
107.1597082,5394.458912,1540.595908
102.3162866,5414.470125,1581.868173
95.87124445,5434.745199,1620.120425
91.7626945,5454.503412,1653.779283
76.80266803,5471.610741,1682.932483
60.61068836,5485.646611,1707.019439
44.67100127,5497.173523,1726.873654
37.13234442,5507.182295,1743.820783
45.5906054,5517.413828,1759.194932
60.88551824,5529.387138,1778.243859
68.95827428,5543.209642,1802.528612
66.1472694,5558.705963,1828.982486
77.74074491,5576.59948,1855.413181
67.38803394,5595.131127,1880.184217
76.79455455,5612.533068,1903.031986
69.82021628,5628.965173,1924.134555
64.78147529,5644.00008,1943.483003
62.39961795,5657.597477,1960.349095
52.54422279,5669.539208,1974.900037
38.77381575,5679.63726,1987.155699
28.98088566,5687.727417,1997.033212
16.26408536,5693.955737,2005.718656
48.83067062,5701.146517,2015.565707
51.10569549,5707.692415,2038.488618
72.02074339,5709.749616,2085.931711
85.67997868,5709.749616,2151.692615
93.6576536,5709.749616,2229.867332
102.1105312,5709.749616,2326.820531
119.6317643,5709.749616,2449.185801
113.6030445,5709.749616,2579.770532
96.91408498,5709.749616,2696.237918
81.85421514,5709.749616,2804.589901
183.7045923,5709.749616,2952.490506
343.9269327,5709.749616,3185.491266
371.1138061,5709.749616,3489.134731
325.646205,5709.749616,3802.77133
303.4909639,5709.749616,4085.357849
308.6276031,5709.749616,4218.236133
388.5374977,5709.749616,4218.236133
391.5674667,5709.749616,4218.236133
375.6331233,5709.749616,4218.236133
336.9482073,5709.749616,4218.236133
309.4783771,5709.749616,4218.236133
269.6160356,5709.749616,4218.236133
246.2281482,5709.749616,4218.236133
215.0838709,5709.749616,4218.236133
182.635659,5709.749616,4218.236133
163.0615064,5709.749616,4218.236133
150.1987508,5709.749616,4218.236133
142.4492996,5709.749616,4218.236133
136.1419126,5709.749616,4218.236133
133.9798946,5709.749616,4218.236133
142.6625223,5709.749616,4218.236133
128.0519892,5709.749616,4218.236133
128.3141296,5709.749616,4218.236133
128.9065518,5709.749616,4218.236133
120.1525182,5709.749616,4218.236133
145.4816003,5709.749616,4218.236133
138.9714418,5709.749616,4218.236133
132.3666436,5709.749616,4218.236133
148.4812759,5709.749616,4218.236133
146.6075591,5709.749616,4218.236133
139.5623985,5709.749616,4218.236133
119.4434059,5709.749616,4218.236133
97.82518585,5709.749616,4218.236133
79.18684125,5709.749616,4218.236133
71.76235568,5709.749616,4218.236133
56.71269139,5709.749616,4218.236133
46.73154431,5709.749616,4218.236133
67.99437343,5709.749616,4218.236133
58.98414767,5709.749616,4218.236133
75.04234623,5709.749616,4218.236133
99.14853056,5709.749616,4218.236133
98.42897511,5709.749616,4218.236133
108.4578358,5709.749616,4218.236133
114.6520513,5709.749616,4218.236133
150.712053,5709.749616,4218.236133
153.1022646,5709.749616,4218.236133
161.5186509,5709.749616,4218.236133
158.5580216,5709.749616,4218.236133
181.2667945,5709.749616,4218.236133
177.724209,5709.749616,4218.236133
192.8774158,5709.749616,4218.236133
245.0808233,5709.749616,4218.236133
240.003919,5709.749616,4218.236133
259.1733709,5709.749616,4218.236133
253.6808987,5709.749616,4218.236133
227.6840959,5709.749616,4218.236133
194.3457646,5709.749616,4218.236133
163.0927128,5709.749616,4218.236133
159.8633936,5709.749616,4218.236133
138.4869035,5709.749616,4218.236133
118.2825303,5709.749616,4218.236133
115.9407121,5709.749616,4218.236133
113.3871777,5709.749616,4218.236133
151.7399347,5709.749616,4218.236133
178.5933993,5709.749616,4218.236133
159.8556205,5709.749616,4218.236133
140.9139413,5709.749616,4218.236133
143.8972468,5709.749616,4218.236133
166.9290775,5709.749616,4218.236133
184.9246001,5709.749616,4218.236133
161.6143843,5709.749616,4218.236133
154.6654318,5709.749616,4218.236133
162.0302453,5709.749616,4218.236133
148.076002,5709.749616,4218.236133
211.4756541,5709.749616,4218.236133
268.4100973,5709.749616,4218.236133
270.5527845,5709.749616,4218.236133
247.1540877,5709.749616,4218.236133
210.5775053,5709.749616,4218.236133
187.97182,5709.749616,4218.236133
162.2568167,5709.749616,4218.236133
144.2875192,5709.749616,4218.236133
130.556125,5709.749616,4218.236133
130.0997539,5709.749616,4218.236133
128.930664,5709.749616,4218.236133
107.373519,5709.749616,4218.236133
108.6938974,5709.749616,4218.236133
103.5615355,5709.749616,4218.236133
140.9681202,5709.749616,4218.236133
156.510313,5709.749616,4218.236133
146.9780928,5709.749616,4218.236133
131.0824221,5709.749616,4218.236133
120.8041786,5709.749616,4218.236133
137.3763972,5709.749616,4218.236133
128.0536436,5709.749616,4218.236133
267.0687548,5709.749616,4218.236133
432,5709.749616,4218.236133
432,5709.749616,4218.236133
432,5709.749616,4218.236133
414.6951784,5709.749616,4218.236133
402.2531707,5709.749616,4218.236133
432,5709.749616,4218.236133
415.4143909,5709.749616,4218.236133
394.9116956,5709.749616,4218.236133
365.9707717,5709.749616,4218.236133
363.2498777,5709.749616,4218.236133
353.5843918,5709.749616,4218.236133
334.485408,5709.749616,4218.236133
306.7499195,5709.749616,4218.236133
282.9988441,5709.749616,4218.236133
252.6857251,5709.749616,4218.236133
274.1096886,5709.749616,4218.236133
258.7446069,5709.749616,4218.236133
256.4676036,5709.749616,4218.236133
247.9130383,5709.749616,4218.236133
228.6033721,5709.749616,4218.236133
198.8579091,5709.749616,4218.236133
386.3696933,5709.749616,4218.236133
360.2152628,5709.749616,4218.236133
336.912409,5709.749616,4218.236133
314.6666649,5709.749616,4218.236133
292.704583,5709.749616,4218.236133
272.8071181,5709.749616,4218.236133
254.9038417,5709.35676,4218.236133
238.7932325,5707.498235,4218.236133
224.3059841,5703.660912,4218.236133
216.1355861,5698.514313,4218.236133
204.4250294,5692.322149,4217.54597
193.3893723,5684.760427,4214.946985
183.4281515,5675.838489,4212.635024
177.7336542,5665.73186,4211.824858
170.1447455,5654.584774,4210.266621
162.9215319,3608.595511,4190.043876
156.0609442,3339.767935,4148.636894
151.1560102,3236.007553,4102.162147
145.5698959,3084.058998,4051.757581
140.3606211,2890.906193,3996.926859
135.7217965,2715.713184,3937.968486
134.0386869,2589.632482,3875.923958
137.269332,2535.259426,3812.862432
135.7101775,2664.960839,3752.087286
132.1468909,2623.810836,3692.9062
128.3021891,2516.192736,2695.111064
125.3647755,2392.313831,2149.858973
124.356674,2292.277689,2056.407835
123.9528281,2227.8145,1981.74425
123.5835251,2166.284787,1908.871497
123.2298766,2124.819732,1839.81016
122.8736978,2076.074297,1776.086953
122.521149,2029.016968,1715.135969
122.2466625,1991.892717,1731.572323
129.6055912,2007.411585,1837.503443
127.5640781,2015.696787,1851.347933
123.9530782,1987.954793,1798.600073
122.0975742,1963.809281,1740.089285
121.5993171,1943.619036,1702.799381
121.2937054,1926.740072,1672.598186
121.0640781,1917.778596,1639.437083
120.7609797,1907.561899,1598.861647
120.4450165,1887.85121,1555.202122
120.1309958,1868.433713,1517.19617
119.819877,1855.311684,1484.047199
119.5106923,1845.340696,1461.468389
119.2088871,1837.179404,1439.031977
119.5201456,1868.692094,1449.081099
119.0027921,1895.830049,1467.853452
118.6459922,1876.630722,1448.150407
118.3522322,1844.05276,1413.326222
118.0613336,1817.90964,1378.062037
117.7716951,1803.393833,1380.025328
117.4951129,1793.612678,1350.875207
113.7963535,1785.964841,1330.450797
