name,typ,node,maxcap,mincap,heat_rate,var_om,fix_om,st_cost,ramp,minup,mindn
PowerProspect1,biomass_st,Ayutthaya1,9.9,2,14.1,26,1,1,9.9,2,2
Rojana1Sc1,wsth_st,Ayutthaya1,61,8,14.1,26,1.2,50,38,6,6
AyuthayaMill1,coal_st,Ayutthaya2,56.6,7,10.05,4.6,2.7,90,36,10,10
WangNoi1Sc1,wsth_st,WangNoi,205,41,14.1,26,1.2,50,205,6,6
WangNoi2Sc1,wsth_st,WangNoi,205,41,14.1,26,1.2,50,205,6,6
Bangchakrefineryu1,oil_st,BangchakRefinery,19,1,10.19,3.17,1.5,50,6,1,1
LatKrabangSc1,wsth_st,BangchakRefinery,40,8,14.1,26,1.2,50,40,6,6
Bangbo,gas_gt,BangKapi,350,70,11.21,2,1.7,70,350,1,1
SamutprakarnSc1,wsth_st,BangKapi,54,11,14.1,26,1.2,50,54,6,6
BangkokHsfcPlant1,coal_st,BangkokNoi,46,5,10.05,4.6,2.7,90,10,10,10
NongKhaem1,gas_ic,BangkokNoi,9.38,2,9.18,3.17,1.5,70,9.38,1,1
TorayNylonIc5,oil_ic,BangkokNoi,5,1,10.33,3.17,1.5,50,5,1,1
SLACK_BangkokNoi,slack,BangkokNoi,10000,1,10000,1000,10000000000,10000000000,5000,1,1
Bangpakongu1,gas_cc,BangPakong,550,110,7.65,2,1.2,70,550,4,4
Bangpakongu2,gas_cc,BangPakong,550,110,7.65,2,1.2,70,550,4,4
Bangpakongu3,gas_st,BangPakong,600,120,11.21,2,1.2,70,600,6,6
Bangpakongu4,gas_st,BangPakong,600,120,11.21,2,1.2,70,600,6,6
BangPakongCc1Sc1,wsth_st,BangPakong,120,24,14.1,26,1.2,50,120,6,6
Bowinpowercc1,gas_gt,BoWin,370,74,11.21,2,1.7,70,370,1,1
Bowinpowercc2,gas_gt,BoWin,370,74,11.21,2,1.7,70,370,1,1
BanBueng1,biomass_st,ChonBuri2,9.9,2,14.1,26,1,1,9.9,2,2
AmataNakorn2BSc1,wsth_st,ChonBuri2,23,5,14.1,26,1.2,50,23,6,6
Bpwha1Sc1,wsth_st,ChonBuri,160,8,14.1,26,1.2,50,40,6,6
SabcoBiomass1,biomass_st,Chumphon,9.5,2,14.1,26,1,1,9.5,2,2
KaengKhoiFactory,coal_st,GulfJPNS,17.2,3,10.05,4.6,2.7,90,17.2,10,10
Gulfjpns,gas_cc,GulfJPNS,800,160,7.65,2,1.2,70,800,4,4
Gulfjput,gas_cc,GulfJPUT,800,160,7.65,2,1.2,70,800,4,4
Kaengkhoi2U1,gas_gt,KaengKhoi2,734,147,11.21,2,1.7,70,734,1,1
Kaengkhoi2U2,gas_gt,KaengKhoi2,734,147,11.21,2,1.7,70,734,1,1
VajiralongkornIc,oil_ic,Kanchanaburi,5,1,10.33,3.17,1.5,50,5,1,1
WangSalaMill1,coal_st,Kanchanaburi2,60.2,5,10.05,4.6,2.7,90,26.2,10,10
WangSalaMill2,coal_st,Kanchanaburi2,34,7,10.05,4.6,2.7,90,34,10,10
Khanomcc,gas_cc,Khanom,678,136,7.65,2,1.2,70,678,4,4
Khanom,gas_gt,Khanom,70.2,14,11.21,2,1.7,70,70.2,1,1
Krabi,gas_st,Krabi,340,68,11.21,2,1.2,70,340,6,6
LampangCementPlant1,wsth_st,Lampang1,8.5,2,14.1,26,1.2,50,8.46,6,6
Lankrabue,oil_gt,LanKrabu,14,3,13.54,3.17,1.5,50,14,1,1
Maehongson,oil_st,MaeHongSon,6,1,10.19,3.17,1.5,50,6,1,1
ChiangMaiWte1,gas_ic,MaeTaeng,25,5,9.18,3.17,1.5,70,25,1,1
Chiangmaifangu1,oil_ic,MaeTaeng,12,1,10.33,3.17,1.5,50,6,1,1
Nakhonpathom,biomass_st,NakhonPathom,9.9,2,14.1,26,1,1,9.9,2,2
AmpharSampran1,coal_st,NakhonPathom,14.9,3,10.05,4.6,2.7,90,14.9,10,10
KampaengsaenWestIc1,gas_ic,NakhonPathom,64,2,9.18,3.17,1.5,70,8,1,1
AmpharSampranIc1,oil_ic,NakhonPathom,11,1,10.33,3.17,1.5,50,5.5,1,1
KoratGt1,oil_gt,NakhonRatchasima1,28,3,13.54,3.17,1.5,50,14,1,1
CrbChangRaek1,biomass_st,NakhonSiThammarat,19,2,14.1,26,1,1,9.5,2,2
ThungSongCement1,wsth_st,NakhonSiThammarat,20.5,4,14.1,26,1.2,50,20.5,6,6
Maptaphutu1,gas_gt,NikomMapTaPhut,673.25,135,11.21,2,1.7,70,673.25,1,1
Maptaphutu2,gas_gt,NikomMapTaPhut,673.25,135,11.21,2,1.7,70,673.25,1,1
NongChokGt3,gas_gt,NongChok,244,24,11.21,2,1.7,70,122,1,1
SLACK_NongChok_230,slack,NongChok,10000,1,10000,1000,10000000000,10000000000,5000,1,1
Northbangkok,gas_cc,NorthBangkok,700,140,7.65,2,1.2,70,700,4,4
PhetchaburiPalmOil1,gas_ic,Phetchaburi,15,3,9.18,3.17,1.5,70,15,1,1
PhuketNew1,gas_ic,Phuket1,14,1,9.18,3.17,1.5,70,7,1,1
PrachinBuriMillGt5,gas_gt,PrachinBuri1,76.5,8,11.21,2,1.7,70,38.34,1,1
PrachinBuriMill4,gas_ic,PrachinBuri1,37.15,7,9.18,3.17,1.5,70,37.15,1,1
PrachuapSugarMill1,biomass_st,PrachuapKhiriKhan,19.4,2,14.1,26,1,1,10,2,2
Pttolefinsu1,oil_gt,PTTOlefins,78.9,5,13.54,3.17,1.5,50,26.3,1,1
RangsitFactoryIc3,oil_ic,Rangsit,15,1,10.33,3.17,1.5,50,5,1,1
SLACK_Rangsit,slack,Rangsit,10000,1,10000,1000,10000000000,10000000000,5000,1,1
PathumThaniCrnSc1,wsth_st,Rangsit,134.5,6,14.1,26,1.2,50,30,6,6
RajburiSugarMill1,biomass_st,Ratchaburi,16,2,14.1,26,1,1,10,2,2
BanPongSki1,coal_st,Rangsit,30,3,10.05,4.6,2.7,90,14.5,10,10
Ratchaburipoweru1,gas_cc,Ratchaburi,700,140,7.65,2,1.2,70,700,4,4
Ratchaburipoweru2,gas_cc,Ratchaburi,700,140,7.65,2,1.2,70,700,4,4
Ratchaburiccu1,gas_cc,Ratchaburi,725,145,7.65,2,1.2,70,725,4,4
Ratchaburiccu2,gas_cc,Ratchaburi,725,145,7.65,2,1.2,70,725,4,4
Ratchaburiu3,gas_gt,RatchaburiThermal,725,145,11.21,2,1.7,70,725,1,1
Ratchaburiu1,gas_st,RatchaburiThermal,735,147,11.21,2,1.2,70,735,6,6
Ratchaburiu2,gas_st,RatchaburiThermal,735,147,11.21,2,1.2,70,735,6,6
RatchaburiPower1Sc1,wsth_st,Ratchaburi3,320,32,14.1,26,1.2,50,160,6,6
Ratcharburitrienergy,gas_gt,RatchaburiThermal,700,140,11.21,2,1.7,70,700,1,1
PatumRiceMill1,biomass_st,Rayong,9.24,2,14.1,26,1,1,9.24,2,2
GlowSppPhase4No1,coal_st,Rayong,304,30,10.05,4.6,2.7,90,152,10,10
Ghecoone,coal_st,GhecoOne,660,132,10.05,4.6,2.7,90,660,10,10
Rayongu2,gas_cc,Rayong,587.5,58,7.65,2,1.2,70,287.67,4,4
Rayongu3,gas_cc,Rayong,587.5,58,7.65,2,1.2,70,287.67,4,4
MuangCogen1No1,coal_st,Rangsit,108,5,10.05,4.6,2.7,90,27,10,10
GlowSppPhase4No3,coal_st,Rayong,182,20,10.05,4.6,2.7,90,85,10,10
Blcp1,coal_st,Rayong1,717,143,10.05,4.6,2.7,90,717,10,10
Blcp2,coal_st,Rayong1,717,143,10.05,4.6,2.7,90,717,10,10
RayongSipcoSc1,wsth_st,Rayong2,387.5,10,14.1,26,1.2,50,63,6,6
EasternSugar3,biomass_st,Sadao,15,3,14.1,26,1,1,15,2,2
MgpMahachaiGreen1,biomass_st,SamutSakhon1,9.9,2,14.1,26,1,1,9.9,2,2
NongSaeng1Gt1,gas_gt,Saraburi2,500,50,11.21,2,1.7,70,250,1,1
TpiPower1,gas_ic,Saraburi1,69.5,12,9.18,3.17,1.5,70,60,1,1
NongSaeng1Gt2,gas_gt,Saraburi3,500,50,11.21,2,1.7,70,250,1,1
GreEnergy1,biomass_st,Songkhla,19.5,2,14.1,26,1,1,9.6,2,2
Chanau1,gas_cc,Songkhla,710,142,7.65,2,1.2,70,710,4,4
Chanau2,gas_cc,Songkhla,800,160,7.65,2,1.2,70,800,4,4
HatYaiGidec1,gas_ic,Songkhla,6.7,1,9.18,3.17,1.5,70,6.7,1,1
Chana1Sc1,wsth_st,Songkhla,248,50,14.1,26,1.2,50,248,6,6
MitrKasetrSugar1,biomass_st,Rangsit,26.5,3,14.1,26,1,1,12.5,2,2
Southbangkoku1,gas_cc,SouthBangkok,335,67,7.65,2,1.2,70,335,4,4
Southbangkoku2,gas_cc,SouthBangkok,623,125,7.65,2,1.2,70,623,4,4
Southbangkoku3,gas_st,SouthBangkok,700,140,11.21,2,1.2,70,700,6,6
SouthBangkok1,oil_st,SouthBangkok,400,40,10.19,3.17,1.5,50,200,1,1
SouthBangkokCc3Sc1,wsth_st,SouthBangkok,496,32,14.1,26,1.2,50,160,6,6
Sriracharefineryu1,oil_ic,SrirachaRefinery,12,1,10.33,3.17,1.5,50,6,1,1
SrirachaRefineryTocS4,oil_st,SrirachaRefinery,26,3,10.19,3.17,1.5,50,16,1,1
MitrBiopowerDanChang2,biomass_st,SuphanBuri,96.9,5,14.1,26,1,1,40,2,2
AmphurBiomass1,biomass_st,SuratThani,10,2,14.1,26,1,1,9.95,2,2
UdonThaniGt2,oil_gt,UdonThani1,14,3,13.54,3.17,1.5,50,14,1,1
Wangnoiu1,gas_cc,WangNoi,651,130,7.65,2,1.2,70,651,4,4
Wangnoiu2,gas_cc,WangNoi,651,130,7.65,2,1.2,70,651,4,4
Wangnoiu3,gas_cc,WangNoi,729,146,7.65,2,1.2,70,729,4,4
Wangnoiu4,gas_cc,WangNoi,800,160,7.65,2,1.2,70,800,4,4
NorthBangkok2Sc1,wsth_st,NorthBangkok,262,52,14.1,26,1.2,50,262,6,6
304Ipnppa9U1,biomass_st,304IPNPPA9,100,20,14.1,26,1,1,100,2,2
304Ipnppa9U2,biomass_st,304IPNPPA9,150,30,14.1,26,1,1,150,2,2
Hongsaligniteu1,coal_imp,HongsaLignite,626,125,10.05,4.6,2.7,90,626,10,10
Hongsaligniteu2,coal_imp,HongsaLignite,626,125,10.05,4.6,2.7,90,626,10,10
Hongsaligniteu3,coal_imp,HongsaLignite,626,125,10.05,4.6,2.7,90,626,10,10
KhonKaenSugarPower1,biomass_st,KhonKaen1,142,3,14.1,26,1,1,5,2,2
NamPhong1Sc1,wsth_st,KhonKaen3,226,23,14.1,26,1.2,50,113,6,6
Maemohu4,coal_st,MaeMoh3,150,30,10.05,4.6,2.7,90,150,10,10
Maemohu5,coal_st,MaeMoh3,150,30,10.05,4.6,2.7,90,150,10,10
Maemohu6,coal_st,MaeMoh3,150,30,10.05,4.6,2.7,90,150,10,10
Maemohu7,coal_st,MaeMoh3,150,30,10.05,4.6,2.7,90,150,10,10
Maemohu10,coal_st,MaeMoh3,300,60,10.05,4.6,2.7,90,300,10,10
Maemohu11,coal_st,MaeMoh3,300,60,10.05,4.6,2.7,90,300,10,10
Maemohu12,coal_st,MaeMoh3,300,60,10.05,4.6,2.7,90,300,10,10
Maemohu13,coal_st,MaeMoh3,300,60,10.05,4.6,2.7,90,300,10,10
Maemohu8,coal_st,MaeMoh3,300,60,10.05,4.6,2.7,90,300,10,10
Maemohu9,coal_st,MaeMoh3,300,60,10.05,4.6,2.7,90,300,10,10
BuaYai1,biomass_st,NakhonRatchasima1,151.2,2,14.1,26,1,1,10,2,2
Namphong2U1,gas_cc,NamPhong2,710,71,7.65,2,1.2,70,355,4,4
PrachinBuriMill2,biomass_st,PrachinBuri1,74.5,7,14.1,26,1,1,37.15,2,2
PrachinBuriIpc1,coal_st,PrachinBuri2,37,2,10.05,4.6,2.7,90,9.5,10,10
ThaTum1,coal_st,PrachinBuri2,328,33,10.05,4.6,2.7,90,164,10,10
NongSaeng2Sc0,wsth_st,Saraburi2,651,30,14.1,26,1.2,50,100,6,6
NongSaeng2Sc1,wsth_st,Saraburi2,651,30,14.1,26,1.2,50,100,6,6
Uwckomen,biomass_st,UWCKomen,9.9,2,14.1,26,1,1,9.9,2,2
Baanrai,biomass_st,BaanRai,9.9,2,14.1,26,1,1,9.9,2,2
Bangmunnak,biomass_st,BangMunNak,22,4,14.1,26,1,1,22,2,2
Mitrbiopower,biomass_st,MitrBiopower,41,8,14.1,26,1,1,41,2,2
Panomsarakhammill,biomass_st,304IPNPPA9,57.8,9,14.1,26,1,1,47.4,2,2
KrungThaiMill1,biomass_st,Kanchanaburi,22,2,14.1,26,1,1,10,2,2
BuriramSugar2,biomass_st,BuriRam,48.7,2,14.1,26,1,1,9.9,2,2
Ponthong1,biomass_st,Kalasin,19.8,2,14.1,26,1,1,9.9,2,2
KalasinMill1,biomass_st,Kalasin,41,8,14.1,26,1,1,41,2,2
RoiEtMill1,biomass_st,RoiEt,35.5,2,14.1,26,1,1,9.9,2,2
MukdahanSaharuang2,biomass_st,Mukdahan,12,2,14.1,26,1,1,12,2,2
MitrBiopowerChaiyaphum2,biomass_st,Phon,48,5,14.1,26,1,1,24,2,2
MitrBiopowerChaiyaphum3,biomass_st,Phon,40,8,14.1,26,1,1,40,2,2
Lamphun1,biomass_st,Lamphun2,9.6,2,14.1,26,1,1,9.6,2,2
MweMaewongEnergy1,biomass_st,NakhonSawan,28,2,14.1,26,1,1,14,2,2
ThaLuangSugarFactory4,biomass_st,LopBuri1,17,2,14.1,26,1,1,12,2,2
MungcharoenBiomass1,biomass_st,Surin,46.8,3,14.1,26,1,1,17,2,2
KumphawapiSugarMill2,biomass_st,UdonThani1,52,4,14.1,26,1,1,20,2,2
SriChiangMai1,biomass_st,NongKhai,9.9,2,14.1,26,1,1,9.9,2,2
Sumrong1,biomass_st,UbonRatchathani1,16,2,14.1,26,1,1,8,2,2
YalaGreen1,biomass_st,Yala,23,5,14.1,26,1,1,23,2,2
KamphaengphetMill2,biomass_st,Kamphaengphet,46.4,2,14.1,26,1,1,12,2,2
