hour,atay,kamchay,kirirom1,kirirom3
0,752.4424130661173,236.57097411560235,77.3630564340134,107.03932555482814
1,1804.4970688591409,624.9429883123623,206.80295782173374,292.04371514770344
2,1795.6567637058279,614.4682256666753,205.77523883822397,290.6847762231524
3,1787.5376210447916,612.1946997711268,204.94570244764992,289.4714700930888
4,1779.3340850902232,606.07656718304,204.0484815164047,288.2138825760892
5,1771.7778722969806,602.1895449996431,203.11870294166755,286.9367535823935
6,1764.8462370605132,603.0755141970409,202.202753309996,285.6732575513426
7,1798.6524732708954,600.4838658679757,201.38232148113593,284.5404178692103
8,1831.0022103914407,600.2261077850826,201.62272682494572,284.3825626090493
9,1817.3702126695687,596.8117348610826,200.61077028694754,284.13357579430135
10,1798.0575556633084,593.5094656191486,199.73921920153595,282.6474053062055
11,1777.7065283407105,582.2717729461068,198.85549232173344,281.32909964870976
12,1756.0538018933248,568.6052130054923,197.96043098615905,280.09336983930325
13,1738.7552110121128,562.9863240685311,197.18058723106435,279.1700756746385
14,1786.483214391846,561.736290859268,196.35395527391367,278.0485579031609
15,1854.3877504524307,561.0057181461082,195.5687545978789,277.0724092618275
16,1985.5262480531703,559.0817069371897,194.8363685912684,276.1021917297527
17,2183.6455308981117,555.1335626555776,194.0933305565144,275.0584764179895
18,2196.1494163967436,548.2369594144294,193.41225633298092,274.0443350517787
19,2152.0983055577394,547.6549580523715,192.7722974352631,273.2628387584387
20,2182.4912720318857,610.7139125714957,194.9408689377899,279.856671825683
21,2168.8268339853803,602.1570789789512,197.94331157201958,278.91297370805387
22,2112.142963496144,582.6108530217165,194.98507006330817,274.46744174131834
23,2028.2450321332644,572.4374164803629,192.07453385830814,271.57212098077656
24,1945.1250446135045,546.7454299818495,190.8849805855238,270.12533043904574
25,1874.1029919486832,528.403900584823,190.08706708287176,268.9736642053041
26,1923.1435552386665,520.2941018462611,189.56008743703194,268.05088985179634
27,1996.9305689809971,493.02209344919936,188.98528299617698,267.37867427398226
28,1970.5096999017069,474.96441248083215,188.31508947712837,266.4123142615914
29,1925.0515263282987,473.1403950784138,187.581140359804,265.33462574107256
30,1877.7105395839935,473.8565396973206,186.84711739140272,264.26089262249377
31,1834.0037453824184,469.00764385947787,186.12758586429294,263.20546007308906
32,1794.1621066527628,460.6182637138555,185.42205357622737,262.16758718044537
33,1756.7619825882805,453.3830842155726,184.72959136431467,261.14617567925006
34,1723.7200019507643,458.10259933651173,184.04929754004408,260.140101084978
35,1693.3184812174568,459.6735744833908,183.3803584614056,259.14836975473577
36,1667.89984843321,456.5772915368103,182.72202563464322,258.17008900284696
37,1649.8226092407353,459.4983341926401,182.0736488611805,257.2044581165702
38,1636.7030606611738,453.0949936926569,181.45179302821492,256.26303393409654
39,1627.6140060653806,464.97041781440186,180.8250656988575,255.32326861210032
40,1620.8548833031991,471.6912056983248,180.2019727243955,254.39093808353337
41,1613.0903009781277,458.4767034755104,179.73678724606174,253.60496726062837
42,1605.798291287334,447.2357204481384,179.2619812546134,252.8167032327995
43,1598.2246424708271,434.25340629403587,178.76427986325592,252.02361367968928
44,1591.1316042850758,430.5806452579516,178.17321593010507,251.1384718197461
45,1584.412964693528,425.50145025080303,177.5750146693895,250.2457824161302
46,1579.5013625096176,454.7805169255376,177.0731802384329,249.55188135987305
47,1741.166045393087,454.9503891839727,184.53159131258477,258.78815206861856
48,2016.3953126255383,445.47214221044,182.65445828224045,254.97938219068664
49,2108.3602930333445,442.90718291796964,178.24568107481426,250.2998884381754
50,2059.268243886084,434.4540371748558,176.49646471778198,248.65577554663724
51,2141.231790149866,422.4138880645929,176.07915268155918,257.9414857255263
52,2234.531758697812,417.89065622645046,175.7679609718586,255.7384561574479
53,2328.0526680904386,410.77069554334963,177.4370768191452,255.18316583411186
54,5183.076466212815,338.1585766512044,136.9310541786396,259.64322622559735
55,5163.053706614849,347.2931056547512,151.29003523354308,289.7632339725552
56,5147.859286246216,352.0329979214497,166.67279803486443,306.3746184220832
57,5022.392079317615,300.19648587971886,142.93146452063954,332.5381396785598
58,5012.555833294649,297.5371669524615,140.19085798010403,339.15427677395473
59,5148.281042219648,406.8675786940956,180.7602066126836,325.30734963129305
60,5138.421698502132,398.76552963634254,173.3584986727288,307.258941593907
61,5127.141960061083,384.6817269518159,174.83053620148527,291.6615922785785
62,5112.088633479575,372.3119930806449,176.32370344796462,279.76006521029416
63,5079.745909760852,295.0667302589103,141.0154914473227,269.87923392625464
64,5074.3201123223935,290.76228288481656,146.60319228319582,264.81895287713996
65,5076.036052501474,361.13438964502404,184.241392881003,297.5845910186511
66,5060.68910993881,356.1099830846016,202.2813498944644,331.3160155526851
67,5061.340348772072,358.2913923553162,206.76020107316663,337.558120733504
68,5057.282661501547,379.67031410674366,219.36013658382075,368.2516165682698
69,5043.036739230545,416.8928707338514,240.0,428.24730586743885
70,4971.201260013421,382.3880423002658,205.3483420636534,432.0
71,4965.218193655739,403.61130677406317,204.41734006621155,432.0
72,5016.745455492076,490.9879655294175,240.0,432.0
73,5012.240597136522,484.5912239143684,240.0,432.0
74,5008.440059921931,462.9905113333932,240.0,432.0
75,4997.2817446350755,489.18142665125566,240.0,432.0
76,4989.491331731459,495.0773840579373,240.0,432.0
77,4925.984360051117,454.64479304561075,204.0,432.0
78,4922.507465614593,441.2507090654946,204.37258871129708,428.1860393273751
79,4971.618702427116,502.2261415643013,240.0,401.6215030564746
80,4962.152013215352,493.2898850008776,240.0,432.0
81,4958.889204991582,483.10282559933864,240.0,432.0
82,4956.972539919192,473.2889295089169,240.0,432.0
83,4954.662980414626,462.09019064498483,240.0,432.0
84,4892.871488017367,372.02022541316813,216.0,432.0
85,4901.303529004321,337.3784840697062,228.0,414.36971305386425
86,4936.648774719525,390.6937959614445,264.0,391.2642336740612
87,4937.682375354895,372.8685072789969,256.23722286570245,370.83680663029867
88,4924.560407891081,350.0505157280143,261.10942506228093,358.79745171411344
89,4905.664738639174,384.3992280017909,249.60843205719053,342.06233991543473
90,4909.2206634648,391.7969357189557,269.084182107346,357.39264912654914
91,4891.988783596501,398.46154450687834,220.28113158863755,370.90072714810594
92,4888.257982729176,392.788992908121,211.5601273809009,364.4601182210687
93,4889.371820348084,408.2004478455554,246.40460556429045,361.7789514500562
94,4883.948934316574,389.2321754147898,242.51301137984547,360.1783190839833
95,4879.643419267176,385.53638108100023,267.8626452498281,383.05656359297956
96,4875.351615722181,409.730064012118,288.0,419.60757223972325
97,4871.519802754885,464.06027183876245,288.0,414.8825726948406
98,4845.284121320528,451.4068688207655,240.0,432.0
99,4843.527837751147,450.90146177969433,240.0,432.0
100,4864.5919315538595,460.25486860100693,288.0,432.0
101,4862.554662806527,471.23000493175203,288.0,432.0
102,4860.820265223946,567.836685944319,288.0,432.0
103,4859.174327518336,634.546240372051,288.0,432.0
104,4855.704010798514,731.7566398030787,288.0,432.0
105,4818.062361262451,719.6912534986348,216.0,432.0
106,4811.266358837765,754.9181955690187,216.0,432.0
107,4865.954704999886,771.1014564645662,276.96746721469077,432.0
108,4862.748503169103,752.4592975088474,276.30454883271585,432.0
109,4867.291947748577,728.1789446936136,285.50112867392346,432.0
110,4871.855143795957,739.3489017951829,276.40317030252425,432.0
111,4884.791701712328,746.0129027868337,276.98716812552186,432.0
112,4833.07342964958,751.9329642231044,216.0,432.0
113,4819.71895444513,807.6581505113271,223.64145212704298,432.0
114,4911.967528046001,876.2430779286343,243.45191051336124,432.0
115,4920.040108620775,905.4497613131023,240.3065875843865,432.0
116,4926.732574592148,924.3612898657724,240.0,432.0
117,4933.894937551451,923.8617420300781,240.0,432.0
118,4944.317156183883,880.7885269594218,240.0,432.0
119,4872.359015563827,777.6234230069327,216.0,432.0
120,4879.088803596994,753.4982675490057,228.0,432.0
121,4962.80794807639,766.0787903865165,258.1796331127077,432.0
122,4960.692147678627,709.1574138051728,277.20211869382103,432.0
123,4954.741710141154,662.9267699164191,288.0,432.0
124,4964.289619757676,626.6798713825182,281.4656272947267,432.0
125,4958.992965842576,598.8840689332116,288.0,432.0
126,4923.242831178859,557.5899254530531,228.0,432.0
127,4927.270437602041,545.900977597167,228.0,432.0
128,4966.613200687762,566.2935699466123,288.0,432.0
129,4971.642641885594,575.1569667873495,288.0,432.0
130,4981.769416603649,588.3270847856752,279.4533996589968,432.0
131,4981.320545591603,574.0922879969911,288.0,432.0
132,4983.739760387877,576.8090402523541,288.0,432.0
133,4948.384560431468,558.6355082889836,228.0,432.0
134,4947.798933108078,579.9408032733288,228.0,432.0
135,4991.557722098268,644.0278240746483,288.0,432.0
136,5005.557400123358,665.5892075572779,279.31981404866923,432.0
137,5006.086841906194,658.0639978193049,288.0,432.0
138,5026.674072977815,659.4053017618941,276.68624848803506,432.0
139,5028.228197999395,628.8371784549676,288.0,432.0
140,4992.860290520717,590.3223087293778,228.0,432.0
141,5007.516760472072,569.3347545631069,228.0,432.0
142,5066.278103960924,593.2429310365155,288.0,432.0
143,5079.160326423648,597.9500135167887,288.0,432.0
144,5093.791897995296,588.1002745135881,288.0,432.0
145,5108.600341741015,569.3190015536208,287.83000528021876,432.0
146,5122.574094450858,535.4458518734865,288.0,432.0
147,5055.57747605146,777.6875998381289,216.0,432.0
148,5076.48590562484,723.6958255514801,216.0,432.0
149,5153.5399558636645,714.2153446622124,264.0,432.0
150,5172.630039108281,641.4647212443047,277.33314525991494,432.0
151,5132.635851397447,557.4891429428288,216.0,432.0
152,5152.671764761496,505.27071892160086,217.91210256575383,432.0
153,5172.231621124717,451.9661254173779,228.0,432.0
154,5130.234952298123,324.322609706984,216.0,432.0
155,5162.083342886587,339.5607137005202,204.0,432.0
156,5251.936934501962,493.97156553641014,216.0,432.0
157,5275.530835451872,540.8298531240231,216.0,432.0
158,5313.144844025456,546.2746720909477,228.0,432.0
159,5333.930852311219,565.5140450011481,228.0,432.0
160,5352.259340231205,578.609991917245,228.0,432.0
161,5288.375034792517,493.9704349047932,179.7144741721989,432.0
162,5304.367720680885,499.0181546804778,178.72031392206395,432.0
163,5435.016829906322,575.7373708056613,217.19749935984407,432.0
164,5450.012396409767,569.0631143729895,216.9816908423988,432.0
165,5462.506792925679,555.0746366858389,217.33064129785788,432.0
166,5472.988228496764,525.141366604554,228.0,432.0
167,5482.438060523802,502.12398225163827,228.0,432.0
168,5381.2661749342515,420.13601879969696,176.66644834566384,432.0
169,5392.3477789190165,402.3778438517681,177.67198550897405,432.0
170,5516.5862555078875,444.0642066868514,228.0,432.0
171,5530.9009364995445,434.0476885270095,228.0,432.0
172,5546.99922756832,423.53814545160367,228.0,432.0
173,5563.356860674874,410.3933269036705,228.0,432.0
174,5578.7146941643905,394.6213098880501,228.0,432.0
175,5476.9264383591135,332.3890783012964,179.338028619035,432.0
176,5489.193164025084,306.6093513849935,180.0,432.0
177,5618.9148553065825,316.7112026053598,228.0,432.0
178,5629.761433346835,294.1184509177273,228.0,432.0
179,5638.915936500016,273.48542807946455,228.0,432.0
180,5646.24151689409,265.80821177236055,228.0,432.0
181,5610.761383618752,120.84621150500242,228.0,432.0
182,5490.366784048504,117.85726108472977,180.0,390.7004434537754
183,5482.896788810814,133.92484486479336,178.86255775495874,432.0
184,5622.999527081085,170.49785910428307,228.0,432.0
185,5623.777905459463,208.50233726309852,228.0,432.0
186,5635.948175729734,264.2830532871001,205.4706374269921,432.0
187,5635.948175729734,308.6544776090382,204.0,432.0
188,5635.948175729734,371.93342500683156,204.0,432.0
189,5474.2288094770865,335.94981294888225,164.1816860088123,432.0
190,5476.607606023268,315.47992313442694,168.0,432.0
191,5635.948175729734,334.76786315814724,204.0,432.0
192,5635.948175729734,417.17293830138016,204.0,432.0
193,5635.948175729734,585.4499601254421,180.0,432.0
194,5635.948175729734,618.0797730543727,180.0,432.0
195,5635.599916132138,649.0054479639296,180.0,432.0
196,5442.2464317739095,584.1807687863732,120.0,432.0
197,5438.2151370178535,606.303331874529,115.80070060649508,432.0
198,5635.2102237731215,735.1211036194346,173.9106966920367,432.0
199,5624.612581998918,768.9336421162354,180.0,432.0
200,5631.117516123102,796.5117183697265,169.81798904201722,432.0
201,5629.890631395444,814.9149892846046,168.5911043143587,432.0
202,5629.269469070909,823.559527638789,168.0,432.0
203,5425.184947513443,702.8459085588115,87.11390760355502,432.0
204,5423.206491925222,713.3005883324381,82.075932638285,432.0
205,5635.948175729734,550.4245041883655,180.46319399160458,432.0
206,5635.948175729734,497.13463611254224,193.87827020580298,432.0
207,5635.948175729734,444.0241111028246,204.0,432.0
208,5635.948175729734,407.5648778945897,200.64192063496554,432.0
209,5635.948175729734,388.4299162560054,204.0,432.0
210,5476.918931501334,313.3006447879667,168.0,432.0
211,5478.584750731429,301.14525781406473,168.0706646233187,432.0
212,5659.746301621626,346.9863590221013,228.0,432.0
213,5659.746301621626,312.0789793105618,228.0,432.0
214,5659.746301621626,270.83422224010593,228.0,432.0
215,5659.746301621626,265.1355406957495,228.0,432.0
216,5659.746301621626,263.35465448457154,228.0,432.0
217,5536.460032054058,229.24315876166978,180.0,432.0
218,5536.460032054058,237.10763285969108,180.0,432.0
219,5659.746301621626,278.9644278390785,228.0,432.0
220,5659.746301621626,285.4230357983935,228.0,432.0
221,5659.746301621626,304.7289028866793,228.0,432.0
222,5659.746301621626,347.5991916854672,228.0,432.0
223,5659.746301621626,346.57228232197707,228.0,432.0
224,5536.460032054058,291.88141271204205,178.84210188045756,432.0
225,5536.268559940143,277.38502262762375,180.0,432.0
226,5659.746301621626,316.7091942979762,228.0,432.0
227,5659.746301621626,312.5695558800253,224.35482473339107,432.0
228,5659.746301621626,306.4435451099709,228.0,432.0
229,5659.746301621626,302.8553485051233,228.0,432.0
230,5659.746301621626,318.0502658670163,228.0,432.0
231,5533.8232997402865,314.0639256254701,180.0,432.0
232,5527.347529801846,411.2004747020697,175.806416666708,432.0
233,5671.746301621627,514.9876588467673,203.85825669740709,432.0
234,5671.746301621627,504.1549641495644,204.0,432.0
235,5671.746301621627,711.9867019380429,181.8915067354271,432.0
236,5670.342892705166,854.1156429360713,180.0,432.0
237,5671.746301621627,906.0243468468386,175.13601082282233,432.0
238,5466.025504385401,864.6943784941939,96.60758429905235,432.0
239,5450.398823296988,922.689412487097,84.0,432.0
240,5661.054380806792,1134.1998612463797,147.14591702300305,432.0
241,5665.465238362143,1095.1400601136681,156.0,432.0
242,5667.354289017345,1074.4445775410072,157.06744685517785,432.0
243,5627.3455556736135,1089.1270040664397,144.0,432.0
244,5598.129050953977,1227.0227121110397,120.0,432.0
245,5225.674993044704,1156.5412231715009,0.0,432.0
246,5188.944573313978,1193.2716429022269,0.0,432.0
247,5535.025289952988,1466.892983789909,64.24785527708298,432.0
248,5577.455241499377,1325.0441404748417,100.18596531725346,432.0
249,5605.806392771273,1203.375712860858,120.0,432.0
250,5632.35855670027,1063.627591205015,139.42140670148407,432.0
251,5640.522162959151,1005.3312109616412,148.04375037146465,432.0
252,5424.785977642784,807.6448335252334,84.0,432.0
253,5434.524289056611,737.8181835722327,107.03987842753803,432.0
254,5641.3849012494775,819.3574639532624,180.0,432.0
255,5643.9420329953355,888.0837684977856,168.26412753587132,432.0
256,5637.320401658534,936.2840806064929,168.0,432.0
257,5645.240005216574,962.9932384815336,156.2648024598121,432.0
258,5637.500739567604,935.0217152430076,168.0,432.0
259,5431.7361410705,742.991987569217,108.0,432.0
260,5454.942574162298,696.474664377831,104.80818122531419,432.0
261,5650.326554108113,788.8458094964112,174.88760819213013,432.0
262,5645.270200083044,868.2755130246638,169.59229462357993,432.0
263,5640.9555707649015,910.8378968619215,168.0,432.0
264,5643.717362229424,891.2291592205421,168.03945676996014,432.0
265,5645.363733915625,866.8725055359529,169.68582845616066,432.0
266,5430.929873228798,795.3570423532063,84.0,432.0
267,5334.127884202175,988.7756245412332,53.57527265531705,432.0
268,5571.6188835651155,1322.0853687085826,107.5017091346438,432.0
269,5583.035353607843,1308.3038041494426,102.32584852358119,432.0
270,5596.609686875119,1240.1625364454726,117.1394226340472,432.0
271,5618.5333507083715,1138.8313813448085,133.63649976765385,432.0
272,5630.386905717727,1075.2541334023597,139.62477039940148,432.0
273,5423.586901562082,889.3203144877357,73.53348200971317,432.0
274,5444.318328626105,837.3909423694042,84.0,432.0
275,5655.688498291727,913.9856131917237,169.83408856199213,432.0
276,5646.223950543483,908.7253855184899,180.0,432.0
277,5652.434345906753,1035.167118112207,156.0,432.0
278,5639.083200254253,1134.428722131159,138.9927736406372,432.0
279,5644.162921051373,1101.7157407485186,141.2274302405567,432.0
280,5387.361171492304,975.3052566370056,58.93698464440615,432.0
281,5349.744039203742,1028.9630935481523,54.21400119161427,432.0
282,5618.364658856088,1271.6181072783552,112.17008304211772,432.0
283,5625.398061697702,1213.914854059378,122.32639860927569,432.0
284,5636.218198484059,1154.2404228266057,136.37108356635133,432.0
285,5638.651195655401,1137.2367520236942,138.7767713412114,432.0
286,5636.290897056116,1153.7678821082409,136.40743285237937,432.0
287,5345.3657756782095,1028.285068852888,60.0,432.0
288,4860.8919026201565,1578.5135027852384,0.0,432.0
289,5185.488320739209,1997.7008684499692,0.0,432.0
290,5173.807570298503,2009.3816188906746,0.0,432.0
291,5163.484808464866,2019.704380724312,0.0,432.0
292,5153.880793791994,2029.308395397184,0.0,432.0
293,5144.614848353008,2038.5743408361702,0.0,432.0
294,4794.635702189667,1644.7697032157275,0.0,432.0
295,4787.78585245543,1651.6195529499637,0.0,432.0
296,5216.682302974601,1966.5068862145768,0.0,432.0
297,5258.35187326338,1924.837315925798,0.0,432.0
298,5189.476513902338,1993.7126752868394,0.0,432.0
299,5110.344458972216,2072.8447302169625,0.0,432.0
300,5110.344458972216,2072.8447302169625,0.0,432.0
301,4768.384144257563,1671.0212611478314,0.0,432.0
302,4769.1872796546695,1670.2181257507248,0.0,432.0
303,5111.147594369322,2072.041594819856,0.0,432.0
304,5125.101215728972,2095.5474329196654,0.0,432.0
305,5125.101215728972,2095.5474329196654,0.0,432.0
306,5125.101215728972,2095.5474329196654,0.0,432.0
307,5125.101215728972,2095.5474329196654,0.0,432.0
308,4784.733865080321,1688.401270054803,0.0,432.0
309,4784.733865080321,1688.401270054803,0.0,432.0
310,5125.101215728972,2095.5474329196654,0.0,432.0
311,5125.481154846245,2095.167493802392,0.0,432.0
312,5127.802332364701,2092.846316283936,0.0,432.0
313,5132.969661687085,2087.6789869615527,0.0,432.0
314,5140.634638661356,2080.014009987282,0.0,432.0
315,4810.108205831662,1663.0269293034619,0.0,432.0
316,4821.461872947564,1651.6732621875597,0.0,432.0
317,5173.397241960671,2047.251406687967,0.0,432.0
318,5185.9273566406855,2034.721292007952,0.0,432.0
319,5195.003878507539,2025.6447701410982,0.0,432.0
320,5431.013225258602,1737.2446476612306,48.30349597251006,432.0
321,5584.088772955101,1373.6735676744318,106.95972010034146,432.0
322,5260.4548662725165,1200.6802688626076,12.0,432.0
323,5258.678727228793,1202.456407906331,12.0,432.0
324,4428.299411943145,1971.8249456909275,180.0,432.0
325,3562.0116093813504,2008.4061253883324,240.0,432.0
326,3333.1064276451243,1885.42522404055,287.43412503103093,432.0
327,3236.0074343670976,1768.21621077855,288.0,432.0
328,3084.0590187799316,1656.7222720577092,288.0,432.0
329,2890.905987152024,1567.185492598679,288.0,432.0
330,2715.7130742575423,1517.0040213727532,288.0,427.151077556391
331,2589.6325107872162,1485.7138009978025,288.0,420.41416024151056
332,2535.259594945101,1560.7599704719805,288.0,432.0
333,2664.960694618014,1663.963238849621,288.0,432.0
334,2623.8107736134866,1642.9559396921318,288.0,432.0
335,2516.192704022351,1574.7448103577972,288.0,432.0
336,2392.313968145874,1482.055645122369,288.0,415.0355949527772
337,2292.2775692711884,1403.989730159296,288.0,399.06039130337723
338,2227.8146707957294,1327.8446942283176,288.0,384.5740153017868
339,2166.2850399811928,1251.974662711326,288.0,370.27337640551445
340,2124.8196108931506,1163.7238129754885,286.21179668557363,357.4176875743293
341,2076.0742624713844,1092.9572498509995,270.4137093609804,345.3550936146128
342,2029.0167848585215,1025.7725431816013,255.99950354991324,334.3006855943134
343,1991.8925424026725,1103.4520886785183,252.97659992428163,331.59586221917573
344,2007.4114552644742,1309.2035903992496,288.0,396.5671683191107
345,2015.6966407400414,1337.838032970163,288.0,390.6940602185746
346,1987.95482337087,1267.7830032171146,288.0,371.4573401882635
347,1963.8093351067869,1182.5951638506335,286.2195581555676,355.2345346471776
348,1943.6192069646531,1135.9394070114038,276.2682510646344,347.10661435933395
349,1926.7403253631974,1100.2012591676846,274.05416699014074,344.9192688066521
350,1917.7785379844381,1050.9804819454673,277.17268551500314,346.7098157421965
351,1907.5619143611584,988.0562758865876,266.28879434279946,338.31115238431477
352,1887.851267702965,927.7752766002791,253.8257416737945,328.7589511345936
353,1868.433821266145,878.3999534873224,241.0981531445134,319.02593140709365
354,1855.3116975731566,832.7732847260002,232.0457184480049,311.9376667415938
355,1845.3405984046544,805.2931165023451,221.71961514930342,303.94470287047335
356,1837.1792499740918,776.3718655956451,218.009546643509,300.7077929723753
357,1868.6920586504757,775.9985124354116,261.5083331309811,332.49375414624154
358,1895.8302818481532,797.3013081951422,266.17740850594663,334.8156468901874
359,1876.630682418002,784.0124199950908,253.36673648307618,324.95063883364855
360,1844.0529892655966,752.478860908669,240.1622006000439,314.9362215929099
361,1817.9094308941417,714.0351805914648,228.19813126161085,305.8193756432228
362,1803.3940791654593,739.4165263433594,218.37109719284206,298.2374405621204
363,1793.6126953370604,698.2375905257641,213.50527900611706,294.23117994465105
364,1786.6763816828595,674.1687062770663,201.77771280548177,278.5524372371525
